title,company,location,url,source,posted,snippet
Accounting Specialist - Europe,Cloudbeds,Europe,https://jobicy.com/jobs/151917-accounting-specialist-europe,Jobicy,2026-08-28T11:57:00+00:00,"What Makes Cloudbeds UniqueAt Cloudbeds, we're not just building software, we’re transforming hospitality. Our intelligently designed platform powers properties across 150 countries, processing billio"
Accounting Process and AI Technology Expert,Gartner,USA,https://jobicy.com/jobs/144635-accounting-process-and-ai-technology-expert,Jobicy,2026-08-26T03:50:11+00:00,"Accounting Process &amp; AI Technology Expert This is an individual contributor position, based remotely in North America or Europe.Gartner is looking for an Analyst to provide research and advisory t"
Sr. Accounting Manager,AlphaSense,USA,https://jobicy.com/jobs/145917-sr-accounting-manager,Jobicy,2026-08-18T03:10:03+00:00,"About AlphaSense:  The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making. With market intelligence and search built on proven AI, AlphaSense delivers i"
"Accounting Associate (Remote, USA-Based)",Manay CPA Inc.,Türkiye,https://jobicy.com/jobs/150819-accounting-associate-remote-usa-based,Jobicy,2026-08-15T16:20:17+00:00,Are you ready to expand your expertise in U.S. accounting and tax practices while working with a diverse client base across multiple industries? We’re looking for motivated professionals who enjoy var
Cost Accounting Manager,Canonical,"EMEA,  UK",https://jobicy.com/jobs/146030-cost-accounting-manager,Jobicy,2026-08-13T09:35:06+00:00,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise init"
"Online Part Time Faculty - Accounting, Undergrad",American Public University System,USA,https://jobicy.com/jobs/150154-online-part-time-faculty-accounting-undergrad,Jobicy,2026-08-03T10:55:21+00:00,"Part-time and full-time teaching faculty share our commitment to learning, teaching, interaction with students and faculty, service to our communities of practice, and scholarship. They are united by "
"Online Part Time Faculty - Accounting, Graduate",American Public University System,USA,https://jobicy.com/jobs/150152-online-part-time-faculty-accounting-graduate,Jobicy,2026-08-03T10:55:18+00:00,"Part-time and full-time teaching faculty share our commitment to learning, teaching, interaction with students and faculty, service to our communities of practice, and scholarship. They are united by "
"Sr. Director, Assistant Controller",LaunchDarkly,USA,https://jobicy.com/jobs/151887-sr-director-assistant-controller,Jobicy,2026-08-27T16:33:40+00:00,"About the Job: LaunchDarkly is seeking a Senior Director, Assistant Controller to lead and scale the global accounting organization during the company’s next phase of growth. This leader will be a key"
Affirm Bank Strategic Finance Manager,Affirm,USA,https://jobicy.com/jobs/151811-affirm-bank-strategic-finance-manager,Jobicy,2026-08-27T10:18:58+00:00,"Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest. About the Finance team The "
Accounts Payables Analyst,Clickhouse,USA,https://jobicy.com/jobs/151695-accounts-payables-analyst,Jobicy,2026-08-26T04:57:18+00:00,"About ClickHouse Recognized on the 2025 Forbes Cloud 100 list, ClickHouse is one of the most innovative and fast-growing private cloud companies. With more than 4,000 customers and ARR that has grown "
Assistant Controller,FastSpring,USA,https://jobicy.com/jobs/151691-assistant-controller,Jobicy,2026-08-26T04:56:12+00:00,"About FastSpring: FastSpring is how AI, SaaS, gaming, software, and digital product companies sell online in more places around the world. We handle all payment needs from checkout to taxes so you can"
Implementation Specialist - Karbon Expert (Contract),Karbon,Australia,https://jobicy.com/jobs/151582-implementation-specialist-karbon-expert-contract,Jobicy,2026-08-25T14:37:44+00:00,About Karbon Karbon is the global leader in AI-powered practice management software for accounting firms. We provide an award-winning cloud platform that helps tens of thousands of accounting professi
"Audit Associate (Remote, USA-Based)",Manay CPA Inc.,Türkiye,https://jobicy.com/jobs/151411-audit-associate-remote-usa-based,Jobicy,2026-08-22T18:41:00+00:00,Are you ready to expand your expertise in U.S. accounting and tax practices while working with a diverse client base across multiple industries? We’re looking for motivated professionals who enjoy var
Finance Manager - Germany,Thoughtworks,"Germany,  UK",https://jobicy.com/jobs/151397-finance-manager-germany,Jobicy,2026-08-22T12:24:17+00:00,"Finance Manager (Germany, Netherlands, Switzerland) Thoughtworks is seeking a highly skilled finance manager to support our Global Controllership team. This role is vital for driving immediate impact "
International Tax Manager,Liftoff,USA,https://jobicy.com/jobs/151323-international-tax-manager,Jobicy,2026-08-21T15:31:05+00:00,"Liftoff is a leading AI-powered performance marketing platform for the mobile app economy. Our end-to-end technology stack helps app marketers acquire and retain high-value users, while enabling publi"
Senior Deal Desk Manager - EMEA,Amplitude,UK,https://jobicy.com/jobs/151036-senior-deal-desk-manager-emea,Jobicy,2026-08-18T17:13:18+00:00,"Amplitude is building the operating system for digital product innovation—and our Deal Desk team sits right at the centre of how we monetise that vision.This team partners deeply with Sales, Finance, "
International Accountant,Instructure,Philippines,https://jobicy.com/jobs/150912-international-accountant,Jobicy,2026-08-17T13:04:13+00:00,"At Instructure, we believe in the power of people to grow and succeed throughout their lives. Our goal is to amplify that power by creating intuitive products that simplify learning and personal devel"
Accountant,Remote,"Portugal,  Spain",https://jobicy.com/jobs/150884-accountant,Jobicy,2026-08-17T08:38:07+00:00,"About Remote Remote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage"
Customer Support Specialist III,Wrapbook,"Canada,  USA",https://jobicy.com/jobs/146330-customer-support-specialist-iii-2,Jobicy,2026-08-16T03:10:06+00:00,"About Us:Wrapbook is a smart, intuitive platform that makes production payroll and accounting easier, faster, and more secure. We provide a unified payroll platform that seamlessly connects your entir"
Associate (CPA/SMMM),Manay CPA Inc.,Türkiye,https://jobicy.com/jobs/150821-associate-cpa-smmm,Jobicy,2026-08-15T16:20:22+00:00,Are you ready to expand your expertise in U.S. accounting and tax practices while working with a diverse client base across multiple industries? We’re looking for motivated professionals who enjoy var
Procurement Analyst,Eightfold,USA,https://jobicy.com/jobs/149007-procurement-analyst,Jobicy,2026-08-09T04:05:04+00:00,"Eightfold is a global leader in an AI-native enterprise talent platform, trusted by the world’s largest &amp; most respected Fortune 500 organizations. Our platform is built from the ground up, operat"
